id,geonameid,name,addrrecnum,address,zip,latitude,longitude
90058,NA,Cedar St at I-44 Eastbound,NA,I-44 at Cedar St,NA,38.61868549999999,-90.19060499999998
90059,NA,I-44 Westbound at Cedar St,NA,I-44 at Cedar St,NA,38.61868549999999,-90.19060499999998
90060,NA,Cedar St at I-44 Westbound,NA,I-44 at Cedar St,NA,38.61868549999999,-90.19060499999998
90061,NA,I-44 at Chestnut St,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90062,NA,Chestnut St at I-44,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90063,NA,I-44 Northbound at Chestnut St,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90064,NA,Chestnut St at I-44 Northbound,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90065,NA,I-44 Southbound at Chestnut St,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90066,NA,Chestnut St at I-44 Southbound,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90067,NA,I-44 Eastbound at Chestnut St,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90068,NA,Chestnut St at I-44 Eastbound,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90069,NA,I-44 Westbound at Chestnut St,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90070,NA,Chestnut St at I-44 Westbound,NA,I-44 at Chestnut St,NA,38.625585,-90.18704299999999
90071,NA,I-44 at Chouteau Ave,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90072,NA,Chouteau Ave at I-44,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90073,NA,I-44 Northbound at Chouteau Ave,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90074,NA,Chouteau Ave at I-44 Northbound,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90075,NA,I-44 Southbound at Chouteau Ave,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90076,NA,Chouteau Ave at I-44 Southbound,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90077,NA,I-44 Eastbound at Chouteau Ave,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90078,NA,Chouteau Ave at I-44 Eastbound,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90079,NA,I-44 Westbound at Chouteau Ave,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90080,NA,Chouteau Ave at I-44 Westbound,NA,I-44 at Chouteau Ave,NA,38.616614999999996,-90.1920155
90081,NA,I-44 at Convent St,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90082,NA,Convent St at I-44,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90083,NA,I-44 Northbound at Convent St,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90084,NA,Convent St at I-44 Northbound,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90085,NA,I-44 Southbound at Convent St,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90086,NA,Convent St at I-44 Southbound,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90087,NA,I-44 Eastbound at Convent St,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90088,NA,Convent St at I-44 Eastbound,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90089,NA,I-44 Westbound at Convent St,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90090,NA,Convent St at I-44 Westbound,NA,I-44 at Convent St,NA,38.615297999999996,-90.19335899999999
90091,NA,I-44 at Eads Brg,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90092,NA,Eads Brg at I-44,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90093,NA,I-44 Northbound at Eads Brg,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90094,NA,Eads Brg at I-44 Northbound,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90095,NA,I-44 Southbound at Eads Brg,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90096,NA,Eads Brg at I-44 Southbound,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90097,NA,I-44 Eastbound at Eads Brg,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90098,NA,Eads Brg at I-44 Eastbound,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90099,NA,I-44 Westbound at Eads Brg,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90100,NA,Eads Brg at I-44 Westbound,NA,I-44 at Eads Brg,NA,38.629650999999996,-90.18600949999998
90101,NA,I-44 at Edwards St,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90102,NA,Edwards St at I-44,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90103,NA,I-44 Northbound at Edwards St,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90104,NA,Edwards St at I-44 Northbound,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90105,NA,I-44 Southbound at Edwards St,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90106,NA,Edwards St at I-44 Southbound,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90107,NA,I-44 Eastbound at Edwards St,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90108,NA,Edwards St at I-44 Eastbound,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90109,NA,I-44 Westbound at Edwards St,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90110,NA,Edwards St at I-44 Westbound,NA,I-44 at Edwards St,NA,38.619024499999995,-90.27505849999999
90111,NA,I-44 at Gratiot St,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90112,NA,Gratiot St at I-44,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90113,NA,I-44 Northbound at Gratiot St,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90114,NA,Gratiot St at I-44 Northbound,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90115,NA,I-44 Southbound at Gratiot St,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90116,NA,Gratiot St at I-44 Southbound,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90117,NA,I-44 Eastbound at Gratiot St,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90118,NA,Gratiot St at I-44 Eastbound,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90119,NA,I-44 Westbound at Gratiot St,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90120,NA,Gratiot St at I-44 Westbound,NA,I-44 at Gratiot St,NA,38.617996999999995,-90.19107649999998
90121,NA,I-44 at Gravois Ave,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90122,NA,Gravois Ave at I-44,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90123,NA,I-44 Northbound at Gravois Ave,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90124,NA,Gravois Ave at I-44 Northbound,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90125,NA,I-44 Southbound at Gravois Ave,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90126,NA,Gravois Ave at I-44 Southbound,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90127,NA,I-44 Eastbound at Gravois Ave,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90128,NA,Gravois Ave at I-44 Eastbound,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90129,NA,I-44 Westbound at Gravois Ave,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
90130,NA,Gravois Ave at I-44 Westbound,NA,I-44 at Gravois Ave,NA,38.609902999999996,-90.20886199999998
