id,name,address,lat,lon
72,Chouteau Ave at I-44,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
73,I-44 Northbound at Chouteau Ave,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
74,Chouteau Ave at I-44 Northbound,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
75,I-44 Southbound at Chouteau Ave,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
76,Chouteau Ave at I-44 Southbound,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
77,I-44 Eastbound at Chouteau Ave,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
78,Chouteau Ave at I-44 Eastbound,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
79,I-44 Westbound at Chouteau Ave,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
80,Chouteau Ave at I-44 Westbound,I-44 at Chouteau Ave,38.616614999999996,-90.1920155
81,I-44 at Convent St,I-44 at Convent St,38.615297999999996,-90.19335899999999
82,Convent St at I-44,I-44 at Convent St,38.615297999999996,-90.19335899999999
83,I-44 Northbound at Convent St,I-44 at Convent St,38.615297999999996,-90.19335899999999
84,Convent St at I-44 Northbound,I-44 at Convent St,38.615297999999996,-90.19335899999999
85,I-44 Southbound at Convent St,I-44 at Convent St,38.615297999999996,-90.19335899999999
86,Convent St at I-44 Southbound,I-44 at Convent St,38.615297999999996,-90.19335899999999
87,I-44 Eastbound at Convent St,I-44 at Convent St,38.615297999999996,-90.19335899999999
88,Convent St at I-44 Eastbound,I-44 at Convent St,38.615297999999996,-90.19335899999999
89,I-44 Westbound at Convent St,I-44 at Convent St,38.615297999999996,-90.19335899999999
90,Convent St at I-44 Westbound,I-44 at Convent St,38.615297999999996,-90.19335899999999
91,I-44 at Eads Brg,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
92,Eads Brg at I-44,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
93,I-44 Northbound at Eads Brg,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
94,Eads Brg at I-44 Northbound,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
95,I-44 Southbound at Eads Brg,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
96,Eads Brg at I-44 Southbound,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
97,I-44 Eastbound at Eads Brg,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
98,Eads Brg at I-44 Eastbound,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
99,I-44 Westbound at Eads Brg,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
100,Eads Brg at I-44 Westbound,I-44 at Eads Brg,38.629650999999996,-90.18600949999998
101,I-44 at Edwards St,I-44 at Edwards St,38.619024499999995,-90.27505849999999
102,Edwards St at I-44,I-44 at Edwards St,38.619024499999995,-90.27505849999999
103,I-44 Northbound at Edwards St,I-44 at Edwards St,38.619024499999995,-90.27505849999999
104,Edwards St at I-44 Northbound,I-44 at Edwards St,38.619024499999995,-90.27505849999999
105,I-44 Southbound at Edwards St,I-44 at Edwards St,38.619024499999995,-90.27505849999999
106,Edwards St at I-44 Southbound,I-44 at Edwards St,38.619024499999995,-90.27505849999999
107,I-44 Eastbound at Edwards St,I-44 at Edwards St,38.619024499999995,-90.27505849999999
108,Edwards St at I-44 Eastbound,I-44 at Edwards St,38.619024499999995,-90.27505849999999
109,I-44 Westbound at Edwards St,I-44 at Edwards St,38.619024499999995,-90.27505849999999
110,Edwards St at I-44 Westbound,I-44 at Edwards St,38.619024499999995,-90.27505849999999
111,I-44 at Gratiot St,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
112,Gratiot St at I-44,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
113,I-44 Northbound at Gratiot St,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
114,Gratiot St at I-44 Northbound,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
115,I-44 Southbound at Gratiot St,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
116,Gratiot St at I-44 Southbound,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
117,I-44 Eastbound at Gratiot St,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
118,Gratiot St at I-44 Eastbound,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
119,I-44 Westbound at Gratiot St,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
120,Gratiot St at I-44 Westbound,I-44 at Gratiot St,38.617996999999995,-90.19107649999998
121,I-44 at Gravois Ave,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
122,Gravois Ave at I-44,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
123,I-44 Northbound at Gravois Ave,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
124,Gravois Ave at I-44 Northbound,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
125,I-44 Southbound at Gravois Ave,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
126,Gravois Ave at I-44 Southbound,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
127,I-44 Eastbound at Gravois Ave,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
128,Gravois Ave at I-44 Eastbound,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
129,I-44 Westbound at Gravois Ave,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
130,Gravois Ave at I-44 Westbound,I-44 at Gravois Ave,38.609902999999996,-90.20886199999998
131,I-44 at Hampton Ave,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
132,Hampton Ave at I-44,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
133,I-44 Northbound at Hampton Ave,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
134,Hampton Ave at I-44 Northbound,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
135,I-44 Southbound at Hampton Ave,I-44 at Hampton Ave,38.61861999999999,-90.28819099999998
