name,address,c_lon,c_lat,g_lon,g_lat
Serra Sculpture Park,"Serra Sculpture Park, St. Louis, MO 63101, USA",-90.19583883634097,38.62731498218127,-90.1958971,38.6274199
Tambo Park,"Tambo Park, St. Louis, MO 63104, USA",-90.22203124484835,38.6200783217299,-90.2230739,38.6199132
Unity Park,"Unity Park, Thekla Ave, St. Louis, MO 63120, USA",-90.25281748669408,38.70265482947785,-90.25268969999999,38.7027476
Turner Playground,"Turner Park, St. Louis, MO 63113, USA",-90.24105860365475,38.648135461907714,-90.2410312,38.6479851
Turtle Playground,"Turtle Playground, St. Louis, MO 63139, USA",-90.29120158801773,38.63165654380304,-90.292971,38.6318072
Kiener Plaza,"Kiener Plaza Park, 500 Chestnut St, St. Louis, MO 63101, USA",-90.19047412302076,38.625988399990135,-90.1908864,38.6260402
Jefferson National Expansion Memorial,"11 N 4th St, St. Louis, MO 63102, USA",-90.18801853921912,38.625394402923476,-90.1854426,38.6246855
Willmore Park,"Willmore Park, 7200 Hampton Ave, St. Louis, MO 63109, USA",-90.29996371970145,38.56874458119873,-90.3023417,38.5716332
Forest Park,"Forest Park, 5595 Grand Dr, St. Louis, MO 63112, USA",-90.26617178066427,38.63153961799696,-90.283466,38.644081
Forest Park,"Forest Park, 5595 Grand Dr, St. Louis, MO 63112, USA",-90.29853232220529,38.632351693302915,-90.283466,38.644081
Forest Park,"Forest Park, 5595 Grand Dr, St. Louis, MO 63112, USA",-90.2840013923682,38.63859275608519,-90.283466,38.644081
Francis R Slay Park,"Francis R. Slay Park, 3100 McCausland Ave, St. Louis, MO 63143, USA",-90.3101916258564,38.60920558385128,-90.3104465,38.6096326
Taylor Park,"Taylor Park, 222 N Taylor Ave, St. Louis, MO 63108, USA",-90.25739339476941,38.643305243507356,-90.2574698,38.64331420000001
Chouteau Park,"Chouteau Park, Chouteau Ave, St. Louis, MO 63110, USA",-90.25681626359379,38.630154598676285,-90.2564299,38.6300897
Murphy Park,"1920 Cass Ave, St. Louis, MO 63106, USA",-90.20308823309318,38.641701310400556,-90.2040628,38.6429344
